id,Files,SizeOfHeapCommit,SizeOfHeapReserve,SizeOfStackCommit,SizeOfStackReserve,subsystem,MajorSubsystemVersion,MinorSubsystemVersion,Checksum,SizeOfHeaders,MinorImageVersion,MajorImageVersion,MinorOperatingSystemVersion,MajorOperatingSystemVersion,LoaderFlag,RVA ,BaseofCode,DllCharacteristicsflags,SizeofImage,FileAlignment,SectionAlignment,ImageBase,AddressofEntryPoint,SizeOfInitializedData,SizeofCode,e_lfnew,Entropy
1,1,4096,1048576,4096,1048576,3,5,0,366167,1024,0,0,0,5,0,16,4096,32768,315392,512,4096,4194304,4128,29696,272896,216,7.164459
2,1,4096,1048576,16384,1048576,2,3,0,0,1024,0,0,0,4,0,16,4096,32768,315392,512,4096,1048576,6528973,3092992,1239552,288,7.68859
3,1,4096,1048576,4096,1048576,3,5,0,367707,1024,0,0,0,5,0,16,4096,0,6533120,512,4096,4194304,5872,4608,316928,224,7.22917
4,1,4096,1048576,4096,1048576,3,6,1,2018690192,1024,0,0,1,5,0,16,4096,0,6533120,512,4096,4194304,15735,709632,112640,256,5.97297
5,1,4096,1048576,4096,1048576,2,5,0,176159,1024,0,0,0,4,0,16,4096,32768,335872,512,4096,4194304,5120,50688,99840,128,6.947283
6,1,4096,1048576,4096,1048576,2,5,0,93878,1024,0,0,0,5,0,16,4096,32768,335872,512,4096,268435456,6064,27648,13312,216,6.642623
7,1,4096,1048576,4096,1048576,2,3,0,0,1024,0,0,0,4,0,16,4096,33088,835584,512,4096,4194304,40960,24576,106496,232,7.24854
8,1,4096,1048576,4096,1048576,3,5,0,197949,1024,0,0,0,5,0,16,4096,33088,835584,512,4096,4194304,29650,162816,69632,272,7.021256
9,1,4096,1048576,4096,4194304,2,4,0,0,1024,0,0,0,4,0,16,4096,0,180224,512,4096,4194304,50296,467968,47104,128,7.600047
10,1,4096,1048576,4096,1048576,3,6,1,452583,512,0,0,0,4,0,16,4096,0,180224,512,4096,4194304,6976,14336,406528,128,6.497522
11,1,4096,1048576,4096,1048576,3,5,0,195760,4096,0,1,0,4,0,16,4096,0,57344,4096,4096,4194304,12440,12288,155648,184,6.051148
12,1,4096,1048576,4096,1048576,2,4,0,0,4096,0,0,0,4,0,16,4096,0,57344,4096,4096,4194304,1548288,655360,983040,296,6.30341
13,1,4096,1048576,4096,1048576,2,4,0,34694,512,0,0,0,4,0,16,4096,0,143360,512,4096,4194304,4576,0,0,128,4.152007
14,1,4096,1048576,4096,1048576,2,4,0,0,1024,0,6,0,4,0,16,4096,0,143360,512,4096,4194304,12538,164864,24064,216,7.981904
15,1,4096,1048576,4096,1048576,3,5,0,303162,1024,0,0,0,5,0,16,4096,320,241664,512,4096,4194304,17408,246784,15360,208,7.334695
16,1,4096,1048576,4096,1048576,2,5,0,185379,4096,96,3,0,4,0,16,4096,320,241664,4096,4096,4194304,6112,36864,118784,184,6.845029
17,1,4096,1048576,16384,1048576,2,4,0,0,1024,0,0,0,4,0,16,4096,0,794624,512,4096,4194304,181764,18432,178688,256,1.219051
18,1,4096,1048576,4096,1048576,2,5,0,167025,4096,0,0,0,4,0,16,4096,0,794624,4096,4096,4194304,28731,262144,40960,224,6.038499
19,1,4096,1048576,4096,4194304,2,4,0,0,4096,0,0,0,4,0,16,364544,0,434176,512,4096,4194304,52272,94208,348160,128,4.949947
20,1,4096,1048576,4096,1048576,2,4,0,0,1024,0,0,0,4,0,16,4096,0,434176,512,4096,4194304,86824,304128,91136,184,0.899026
21,1,4096,1048576,4096,1048576,2,4,0,0,1024,0,0,0,5,0,16,4096,0,172032,512,4096,4194304,105984,22528,109568,232,6.664629
22,1,4096,1048576,4096,1048576,2,4,0,0,4096,0,1,0,4,0,16,4096,0,172032,4096,4096,4194304,6828,155648,77824,184,5.810887
23,1,4096,1048576,4096,1048576,2,4,0,0,1024,0,6,0,4,0,16,4096,0,1642496,512,4096,4194304,12538,164864,24064,216,7.980274
24,1,4096,1048576,0,0,2,4,0,0,1024,0,0,0,4,0,16,4096,0,1642496,512,4096,4194304,19972,4608,16384,256,4.635464
25,1,4096,1048576,0,0,2,4,0,0,4096,0,7,1,7,0,16,86016,0,12288,512,4096,4194304,254688,4096,172032,208,7.894099
26,1,4096,1048576,4096,1048576,2,4,0,34694,512,0,0,0,4,0,16,4096,0,12288,512,4096,4194304,4576,0,0,128,4.167919
27,1,4096,1048576,4096,1048576,2,4,0,0,1024,0,6,0,4,0,16,4096,32768,241664,512,4096,4194304,12538,164864,24064,216,7.980238
28,1,4096,1048576,4096,1048576,2,4,0,0,1024,0,0,0,4,0,16,4096,32768,241664,512,4096,4194304,213424,11776,212992,128,7.711671
29,1,4096,1048576,4096,1048576,2,4,0,0,4096,0,0,1,5,0,16,151552,32768,274432,512,4096,4194304,395008,12288,245760,248,7.819092
30,1,4096,1048576,4096,1048576,2,4,0,34694,512,0,0,0,4,0,16,4096,32768,274432,512,4096,4194304,4576,0,0,128,4.165301
31,1,4096,1048576,4096,1048576,3,6,1,594300,4096,0,0,0,4,0,16,4096,0,163840,4096,4096,268435456,1241623,479232,684032,240,7.891095
32,1,4096,1048576,4096,1048576,2,4,0,38471,512,0,1,0,4,0,16,4096,0,163840,512,4096,4194304,12624,8192,106496,184,7.959412
33,1,4096,1048576,4096,1048576,2,4,0,0,1024,0,0,0,4,0,16,4096,0,233472,512,4096,4194304,4268,11776,1024,232,7.647809
34,1,4096,1048576,4096,1048576,3,5,0,379495,1024,0,0,1,5,0,16,4096,0,233472,512,4096,4194304,9343,257536,74240,224,7.288733
35,1,4096,1048576,4096,1048576,3,5,1,398617,1024,0,0,0,5,0,16,4096,0,307200,512,4096,4194304,5952,325120,5120,232,7.169604
36,1,4096,1048576,4096,1048576,2,4,0,0,1024,0,0,0,5,0,16,4096,0,307200,512,4096,4194304,7312,54784,43008,232,5.366071
37,1,4096,1048576,4096,1048576,3,5,0,322361,1024,0,0,0,5,0,16,4096,0,806912,512,4096,268435456,4176,248832,12288,224,6.573827
